clinic_name,country,website,email,contact_person,status,notes,last_contact
Harley Street Dental Clinic,UK,https://www.harleystreetdentalclinic.co.uk,info@hsdc.net,,emailed-1,London lead from website contact page,2026-02-28
London Dental Centre,UK,https://thelondondentalcentre.co.uk,info@thelondondentalcentre.co.uk,,emailed-1,London lead from contact page,2026-02-28
Harlesden Dental Clinic,UK,https://harlesdendentalclinic.com,hdc@harlesdendentalclinic.com,,emailed-1,London lead from contact page,2026-02-28
Wimpole Street Dental,UK,https://wimpolestreetdental.clinic,reception@wsdental.clinic,,emailed-1,London lead from contact page,2026-02-28
Manchester Dental,UK,https://manchesterdental.co.uk,info@manchesterdental.co.uk,,emailed-1,Manchester lead from contact page,2026-02-28
Manchester Dental Practice,UK,https://manchesterdentalpractice.co.uk,info@manchesterdentalpractice.co.uk,,new,Manchester lead from contact page,
Love-Teeth Dental Practice,UK,https://loveteethdp.co.uk,ilana@loveteethdp.co.uk,,new,Manchester-area lead from contact page,
Sydney Dental Clinics (Bondi),Australia,https://sydneydentalclinics.com.au,bsydneydentalclinics@gmail.com,,new,Sydney lead from contact page,
Sydney Dental Clinics (Blacktown),Australia,https://sydneydentalclinics.com.au,blsydneydentalclinics@gmail.com,,new,Sydney lead from contact page,
Sydney Road Family Dental,Australia,https://sydneyroadfamilydental.com.au,dentist@sydneyroadfamilydental.com.au,,new,Australia lead from contact page,
123 Dental (Downtown Toronto),Canada,https://www.123-dental.com,info@123-dental.com,,new,Toronto lead from contact page,
Toronto Dental (Chaplin/Central),Canada,https://www.torontodental.com,chaplin@torontodental.com,,new,Toronto lead from contact page (alt email: central@torontodental.com),
